n,code,depth1,dpeth2,depth3,gridX,gridY,lonHour,lonMin,lonSec,latHour,latMin,latSec,longitude,latitude,
kor,4223000000,강원도,삼척시,,98,125,129,10,2.96,37,26,49.51,129.16748888888900,37.447086111111100,
kor,4272000000,강원도,홍천군,,75,130,127,53,27.03,37,41,39.92,127.89084166666700,37.69442222222220,
kor,4273000000,강원도,횡성군,,77,125,127,59,14.0,37,29,20.25,127.98722222222200,37.488958333333300,
kor,4275000000,강원도,영월군,,86,119,128,27,50.47,37,10,51.1,128.46401944444400,37.180861111111100,
kor,4276000000,강원도,평창군,,84,123,128,23,32.47,37,22,4.5,128.39235277777800,37.367916666666700,
kor,4277000000,강원도,정선군,,89,123,128,39,47.11,37,22,40.11,128.6630861111110,37.377808333333300,
kor,4278000000,강원도,철원군,,65,139,127,18,56.64,38,8,38.6,127.31573333333300,38.14405555555560,
kor,4279000000,강원도,화천군,,72,139,127,42,37.28,38,6,12.27,127.71035555555600,38.103408333333300,
kor,4280000000,강원도,양구군,,77,139,127,59,32.08,38,6,26.25,127.99224444444400,38.10729166666670,
kor,4281000000,강원도,인제군,,80,138,128,10,21.71,38,4,1.1,128.1726972222220,38.066972222222200,
kor,4282000000,강원도,고성군,,85,145,128,28,12.59,38,22,40.66,128.4701638888890,38.37796111111110,
kor,4283000000,강원도,양양군,,88,138,128,37,16.88,38,4,22.2,128.62135555555600,38.072833333333300,
kor,4300000000,충청북도,,,69,107,127,29,36.91,36,37,57.0,127.49358611111100,36.6325,
kor,4311100000,충청북도,청주시상당구,,69,106,127,30,42.23,36,35,2.39,127.51173055555600,36.58399722222220,
kor,4311200000,충청북도,청주시서원구,,69,107,127,28,59.84,36,38,14.14,127.4832888888890,36.63726111111110,
kor,4311300000,충청북도,청주시흥덕구,,67,106,127,21,33.91,36,37,5.52,127.35941944444400,36.6182,
kor,4311400000,충청북도,청주시청원구,,69,107,127,29,15.59,36,38,39.5,127.48766388888900,36.644305555555600,
kor,4313000000,충청북도,충주시,,76,114,127,55,41.32,36,59,17.45,127.92814444444400,36.98818055555560,
kor,4315000000,충청북도,제천시,,81,118,128,11,35.35,37,7,47.17,128.19315277777800,37.12976944444440,
kor,4372000000,충청북도,보은군,,73,103,127,43,53.79,36,29,11.52,127.73160833333300,36.486533333333300,
kor,4373000000,충청북도,옥천군,,71,99,127,34,25.08,36,18,12.78,127.57363333333300,36.303550000000000,
kor,4374000000,충청북도,영동군,,74,97,127,47,8.2,36,10,19.41,127.78561111111100,36.17205833333330,
kor,4374500000,충청북도,증평군,,71,110,127,34,59.84,36,46,55.85,127.58328888888900,36.782180555555600,
kor,4375000000,충청북도,진천군,,68,111,127,26,15.52,36,51,9.14,127.43764444444400,36.85253888888890,
kor,4376000000,충청북도,괴산군,,74,111,127,47,19.79,36,48,44.75,127.78883055555600,36.81243055555560,
kor,4377000000,충청북도,음성군,,72,113,127,41,33.44,36,56,14.66,127.69262222222200,36.93740555555560,
kor,4380000000,충청북도,단양군,,84,115,128,22,4.23,36,58,54.41,128.36784166666700,36.98178055555560,
kor,4400000000,충청남도,,,68,100,127,25,22.64,36,19,25.94,127.42295555555600,36.32387222222220,
kor,4413100000,충청남도,천안시동남구,,63,110,127,9,8.88,36,48,14.85,127.15246666666700,36.804125,
kor,4413300000,충청남도,천안시서북구,,63,112,127,9,25.91,36,52,32.01,127.15719722222200,36.87555833333330,
kor,4415000000,충청남도,공주시,,63,102,127,7,16.03,36,26,37.01,127.12111944444400,36.44361388888890,
kor,4418000000,충청남도,보령시,,54,100,126,36,53.59,36,19,50.07,126.6148861111110,36.330575,
kor,4420000000,충청남도,아산시,,60,110,127,0,16.71,36,47,13.58,127.00464166666700,36.787105555555600,
kor,4421000000,충청남도,서산시,,51,110,126,27,7.79,36,46,55.55,126.45216388888900,36.78209722222220,
kor,4423000000,충청남도,논산시,,62,97,127,6,3.28,36,11,3.13,127.1009111111110,36.18420277777780,
kor,4425000000,충청남도,계룡시,,65,99,127,15,3.35,36,16,18.61,127.25093055555600,36.271836111111100,
kor,4427000000,충청남도,당진시,,54,112,126,37,48.91,36,53,26.7,126.63025277777800,36.89075,
kor,4471000000,충청남도,금산군,,69,95,127,29,25.11,36,6,21.13,127.49030833333300,36.105869444444400,
kor,4476000000,충청남도,부여군,,59,99,126,54,42.71,36,16,22.16,126.91186388888900,36.272822222222200,
kor,4477000000,충청남도,서천군,,55,94,126,41,38.0,36,4,38.66,126.69388888888900,36.07740555555560,
kor,4479000000,충청남도,청양군,,57,103,126,48,15.32,36,27,22.57,126.80425555555600,36.456269444444400,
kor,4480000000,충청남도,홍성군,,55,106,126,39,46.47,36,35,54.1,126.66290833333300,36.59836111111110,
kor,4481000000,충청남도,예산군,,58,107,126,51,3.15,36,40,47.3,126.85087500000000,36.679805555555600,
kor,4482500000,충청남도,태안군,,48,109,126,17,59.91,36,44,33.6,126.299975,36.742666666666700,
kor,4500000000,전라북도,,,63,89,127,6,39.79,35,49,2.19,127.11105277777800,35.817275,
kor,4511100000,전라북도,전주시완산구,,63,89,127,7,18.91,35,48,33.08,127.12191944444400,35.80918888888890,
kor,4511300000,전라북도,전주시덕진구,,63,89,127,8,11.11,35,49,34.99,127.13641944444400,35.82638611111110,
kor,4513000000,전라북도,군산시,,56,92,126,44,19.84,35,57,52.71,126.73884444444400,35.96464166666670,
kor,4514000000,전라북도,익산시,,60,91,126,57,35.47,35,56,42.99,126.95985277777800,35.945275000000000,
kor,4518000000,전라북도,정읍시,,58,83,126,51,29.2,35,34,0.74,126.8581111111110,35.56687222222220,
kor,4519000000,전라북도,남원시,,68,80,127,23,33.0,35,24,47.72,127.39250000000000,35.41325555555560,
kor,4521000000,전라북도,김제시,,59,88,126,52,57.91,35,48,2.07,126.88275277777800,35.800575000000000,
kor,4571000000,전라북도,완주군,,63,89,127,8,58.55,35,50,34.69,127.14959722222200,35.84296944444450,
kor,4572000000,전라북도,진안군,,68,88,127,25,37.08,35,47,19.39,127.42696666666700,35.788719444444400,
kor,4573000000,전라북도,무주군,,72,93,127,39,46.32,36,0,13.78,127.66286666666700,36.00382777777780,
kor,4574000000,전라북도,장수군,,70,85,127,31,23.88,35,38,39.47,127.5233,35.64429722222220,
kor,4575000000,전라북도,임실군,,66,84,127,17,5.11,35,36,29.03,127.28475277777800,35.60806388888890,
kor,4577000000,전라북도,순창군,,63,79,127,8,22.67,35,22,17.0,127.13963055555600,35.37138888888890,
kor,4579000000,전라북도,고창군,,56,80,126,42,14.79,35,25,57.86,126.70410833333300,35.432738888888900,
kor,4580000000,전라북도,부안군,,56,87,126,44,8.44,35,43,42.72,126.73567777777800,35.72853333333330,
kor,4600000000,전라남도,,,51,67,126,27,54.0,34,48,46.96,126.465,34.813044444444400,
kor,4611000000,전라남도,목포시,,50,67,126,23,39.91,34,48,31.64,126.39441944444400,34.808788888888900,
kor,4613000000,전라남도,여수시,,73,66,127,39,51.79,34,45,26.32,127.66438611111100,34.757311111111100,
kor,4615000000,전라남도,순천시,,70,70,127,29,21.59,34,56,51.38,127.48933055555600,34.947605555555600,
kor,4617000000,전라남도,나주시,,56,71,126,42,46.32,35,0,46.22,126.71286666666700,35.012838888888900,
kor,4623000000,전라남도,광양시,,73,70,127,41,53.44,34,56,15.13,127.69817777777800,34.93753611111110,
kor,4671000000,전라남도,담양군,,61,78,126,59,24.59,35,19,5.25,126.99016388888900,35.318125,
kor,4672000000,전라남도,곡성군,,66,77,127,17,38.79,35,16,44.24,127.29410833333300,35.278955555555600,
kor,4673000000,전라남도,구례군,,69,75,127,27,53.76,35,11,58.05,127.46493333333300,35.19945833333330,
kor,4677000000,전라남도,고흥군,,66,62,127,17,13.4,34,36,29.05,127.28705555555600,34.608069444444400,
kor,4678000000,전라남도,보성군,,62,66,127,4,55.52,34,46,6.0,127.08208888888900,34.76833333333330,
kor,4679000000,전라남도,화순군,,61,72,126,59,18.84,35,3,41.33,126.98856666666700,35.061480555555600,
kor,4680000000,전라남도,장흥군,,59,64,126,54,32.79,34,40,42.69,126.90910833333300,34.678525,
kor,4681000000,전라남도,강진군,,57,63,126,46,9.11,34,38,20.08,126.76919722222200,34.63891111111110,
kor,4682000000,전라남도,해남군,,54,61,126,36,4.64,34,34,13.57,126.60128888888900,34.570436111111100,
kor,4683000000,전라남도,영암군,,56,66,126,41,55.03,34,47,49.16,126.69861944444400,34.79698888888890,
kor,4684000000,전라남도,무안군,,52,71,126,29,1.32,34,59,14.53,126.4837,34.98736944444450,
kor,4686000000,전라남도,함평군,,52,72,126,31,7.03,35,3,45.88,126.51861944444400,35.06274444444440,
kor,4687000000,전라남도,영광군,,52,77,126,30,50.71,35,16,27.0,126.51408611111100,35.274166666666700,
kor,4688000000,전라남도,장성군,,57,77,126,47,13.11,35,17,55.72,126.786975,35.29881111111110,
kor,4689000000,전라남도,완도군,,57,56,126,45,25.55,34,18,28.27,126.75709722222200,34.307852777777800,
kor,4690000000,전라남도,진도군,,48,59,126,15,55.96,34,29,1.5,126.26554444444400,34.48375,
kor,4691000000,전라남도,신안군,,50,66,126,22,54.23,34,47,23.32,126.38173055555600,34.789811111111100,
kor,4700000000,경상북도,,,89,91,128,36,9.96,35,53,22.58,128.60276666666700,35.889605555555600,
kor,4711100000,경상북도,포항시남구,,102,94,129,21,42.0,36,0,20.47,129.36166666666700,36.00568611111110,
kor,4711300000,경상북도,포항시북구,,102,95,129,22,4.47,36,2,19.86,129.36790833333300,36.03885,
kor,4713000000,경상북도,경주시,,100,91,129,13,37.28,35,51,11.41,129.22702222222200,35.85316944444450,
kor,4715000000,경상북도,김천시,,80,96,128,6,56.88,36,8,12.83,128.1158,36.136897222222200,
kor,4717000000,경상북도,안동시,,91,106,128,43,53.84,36,33,55.67,128.73162222222200,36.565463888888900,
kor,4719000000,경상북도,구미시,,84,96,128,20,48.4,36,6,59.58,128.3467777777780,36.116550000000000,
kor,4721000000,경상북도,영주시,,89,111,128,37,34.84,36,48,10.57,128.62634444444400,36.80293611111110,
kor,4723000000,경상북도,영천시,,95,93,128,56,26.79,35,58,12.19,128.940775,35.97005277777780,
kor,4725000000,경상북도,상주시,,81,102,128,9,40.55,36,24,28.69,128.1612638888890,36.40796944444440,
kor,4728000000,경상북도,문경시,,81,106,128,11,20.47,36,35,1.07,128.18901944444400,36.58363055555560,
kor,4729000000,경상북도,경산시,,91,90,128,44,36.47,35,49,19.52,128.74346388888900,35.82208888888890,
kor,4772000000,경상북도,군위군,,88,99,128,34,30.28,36,14,23.99,128.57507777777800,36.23999722222220,
kor,4773000000,경상북도,의성군,,90,101,128,41,57.71,36,20,59.13,128.69936388888900,36.349758333333300,
kor,4775000000,경상북도,청송군,,96,103,129,3,33.84,36,25,59.85,129.0594,36.43329166666670,
kor,4776000000,경상북도,영양군,,97,108,129,6,52.64,36,39,51.39,129.1146222222220,36.664275000000000,
kor,4777000000,경상북도,영덕군,,102,103,129,22,6.08,36,24,43.57,129.36835555555600,36.412102777777800,
kor,4782000000,경상북도,청도군,,91,86,128,44,10.32,35,38,39.52,128.7362,35.64431111111110,
kor,4783000000,경상북도,고령군,,83,87,128,15,54.08,35,43,22.75,128.26502222222200,35.72298611111110,
kor,4784000000,경상북도,성주군,,83,91,128,17,6.55,35,54,58.36,128.28515277777800,35.91621111111110,
kor,4785000000,경상북도,칠곡군,,85,93,128,24,13.67,35,59,33.17,128.40379722222200,35.99254722222220,
kor,4790000000,경상북도,예천군,,86,107,128,27,18.08,36,39,17.82,128.4550222222220,36.65495,
kor,4792000000,경상북도,봉화군,,90,113,128,44,5.55,36,53,24.94,128.734875,36.89026111111110,
kor,4793000000,경상북도,울진군,,102,115,129,24,10.03,36,59,24.67,129.4027861111110,36.990186111111100,
kor,4794000000,경상북도,울릉군,,127,127,130,54,13.64,37,28,50.07,130.9037888888890,37.480575,
kor,4800000000,경상남도,,,91,77,128,41,39.0,35,14,5.05,128.69416666666700,35.23473611111110,
kor,4812100000,경상남도,창원시의창구,,90,77,0,0,0.0,0,0,0.0,128.6401544,35.2540033,
kor,4812300000,경상남도,창원시성산구,,91,76,0,0,0.0,0,0,0.0,128.7029401,35.1983844,
kor,4812500000,경상남도,창원시마산합포구,,89,76,0,0,0.0,0,0,0.0,128.567863,35.196874,
kor,4812700000,경상남도,창원시마산회원구,,89,76,0,0,0.0,0,0,0.0,128.579706,35.220932,
kor,4812900000,경상남도,창원시진해구,,91,75,0,0,0.0,0,0,0.0,128.710081,35.13306,
kor,4817000000,경상남도,진주시,,81,75,128,6,36.0,35,10,37.32,128.11000000000000,35.177033333333300,
kor,4822000000,경상남도,통영시,,87,68,128,26,7.0,34,51,4.53,128.43527777777800,34.851258333333300,
kor,4824000000,경상남도,사천시,,80,71,128,4,0.4,35,0,1.02,128.0667777777780,35.000283333333300,
kor,4825000000,경상남도,김해시,,95,77,128,53,30.0,35,13,31.82,128.89166666666700,35.22550555555560,
kor,4827000000,경상남도,밀양시,,92,83,128,44,56.2,35,30,2.8,128.74894444444400,35.50077777777780,
kor,4831000000,경상남도,거제시,,90,69,128,37,24.08,34,52,38.49,128.62335555555600,34.87735833333330,
kor,4833000000,경상남도,양산시,,97,79,129,2,21.88,35,19,54.94,129.03941111111100,35.33192777777780,
kor,4872000000,경상남도,의령군,,83,78,128,15,49.76,35,19,8.83,128.26382222222200,35.319119444444400,
kor,4873000000,경상남도,함안군,,86,77,128,24,31.35,35,16,9.86,128.40870833333300,35.26940555555560,
kor,4874000000,경상남도,창녕군,,87,83,128,29,40.32,35,32,29.53,128.49453333333300,35.54153611111110,
kor,4882000000,경상남도,고성군,,85,71,128,19,28.35,34,58,11.64,128.32454166666700,34.9699,
kor,4884000000,경상남도,남해군,,77,68,127,53,40.08,34,50,4.41,127.89446666666700,34.834558333333300,
kor,4885000000,경상남도,하동군,,74,73,127,45,12.35,35,3,51.13,127.75343055555600,35.06420277777780,
kor,4886000000,경상남도,산청군,,76,80,127,52,32.23,35,24,44.97,127.87561944444400,35.41249166666670,
kor,4887000000,경상남도,함양군,,74,82,127,43,38.71,35,31,2.89,127.72741944444400,35.517469444444400,
kor,4888000000,경상남도,거창군,,77,86,127,54,41.96,35,41,1.05,127.91165555555600,35.683625,
kor,4889000000,경상남도,합천군,,81,84,128,10,4.55,35,33,49.02,128.16793055555600,35.56361666666670,
kor,5000000000,제주특별자치도,,,52,38,126,30,1.2,33,29,8.5,126.50033333333300,33.48569444444450,
kor,5011000000,제주특별자치도,제주시,,53,38,126,31,59.55,33,29,46.72,126.53320833333300,33.49631111111110,
kor,5013000000,제주특별자치도,서귀포시,,52,33,126,30,45.2,33,15,8.46,126.51255555555600,33.25235,
kor,5019000000,이어도,,,28,8,0,0,0.0,0,0,0.0,0.0,0.0,
kor,5019099000,이어도,,,28,8,0,0,0.0,0,0,0.0,0.0,0.0,